"id","canton_id:id","code","name"
"__export__.ote_parroquia_050162",,"050162","Toacaso"
"__export__.ote_parroquia_050163",,"050163","Palo Quemado"
"__export__.ote_parroquia_050201",,"050201","El Carmen"
"__export__.ote_parroquia_050202",,"050202","La Maná "
"__export__.ote_parroquia_050203",,"050203","El Triunfo"
"__export__.ote_parroquia_050250",,"050250","La Maná"
"__export__.ote_parroquia_050251",,"050251","Guasaganda (Cab. en Guasaganda)"
"__export__.ote_parroquia_050252",,"050252","Pucayacu"
"__export__.ote_parroquia_050350",,"050350","El Corazón"
"__export__.ote_parroquia_050351",,"050351","Moraspungo"
"__export__.ote_parroquia_050352",,"050352","Pinllopata"
"__export__.ote_parroquia_050353",,"050353","Ramón Campaña"
"__export__.ote_parroquia_050450",,"050450","Pujilí"
"__export__.ote_parroquia_050451",,"050451","Angamarca"
"__export__.ote_parroquia_050452",,"050452","Chucchilán (Chugchilán)"
"__export__.ote_parroquia_050453",,"050453","Guangaje"
"__export__.ote_parroquia_050454",,"050454","Isinlibí (Isinliví)"
"__export__.ote_parroquia_050455",,"050455","La Victoria"
"__export__.ote_parroquia_050456",,"050456","Pilaló"
"__export__.ote_parroquia_050457",,"050457","Tingo"
"__export__.ote_parroquia_050458",,"050458","Zumbahua"
"__export__.ote_parroquia_050550",,"050550","San Miguel"
"__export__.ote_parroquia_050551",,"050551","Antonio José Holguín (Santa Lucía)"
"__export__.ote_parroquia_050552",,"050552","Cusubamba"
"__export__.ote_parroquia_050553",,"050553","Mulalillo"
"__export__.ote_parroquia_050554",,"050554","Mulliquindil (Santa Ana)"
"__export__.ote_parroquia_050555",,"050555","Pansaleo"
"__export__.ote_parroquia_050650",,"050650","Saquisilí"
"__export__.ote_parroquia_050651",,"050651","Canchagua"
"__export__.ote_parroquia_050652",,"050652","Chantilín"
"__export__.ote_parroquia_050653",,"050653","Cochapamba"
"__export__.ote_parroquia_050750",,"050750","Sigchos"
"__export__.ote_parroquia_050751",,"050751","Chugchillán"
"__export__.ote_parroquia_050752",,"050752","Isinliví"
"__export__.ote_parroquia_050753",,"050753","Las Pampas"
"__export__.ote_parroquia_050754",,"050754","Palo Quemado"
"__export__.ote_parroquia_060101",,"060101","Lizarzaburu"
"__export__.ote_parroquia_060102",,"060102","Maldonado"
"__export__.ote_parroquia_060103",,"060103","Velasco"
"__export__.ote_parroquia_060104",,"060104","Veloz"
"__export__.ote_parroquia_060105",,"060105","Yaruquíes"
"__export__.ote_parroquia_060150",,"060150","Riobamba"
"__export__.ote_parroquia_060151",,"060151","Cacha (Cab. en Machángara) "
"__export__.ote_parroquia_060152",,"060152","Calpi"
"__export__.ote_parroquia_060153",,"060153","Cubijíes"
"__export__.ote_parroquia_060154",,"060154","Flores"
"__export__.ote_parroquia_060155",,"060155","Licán"
"__export__.ote_parroquia_060156",,"060156","Licto"
"__export__.ote_parroquia_060157",,"060157","Pungalá"
"__export__.ote_parroquia_060158",,"060158","Punín"
"__export__.ote_parroquia_060159",,"060159","Quimiag"
"__export__.ote_parroquia_060160",,"060160","San Juan"
"__export__.ote_parroquia_060161",,"060161","San Luis"
"__export__.ote_parroquia_060250",,"060250","Alausí"
"__export__.ote_parroquia_060251",,"060251","Achupallas"
"__export__.ote_parroquia_060252",,"060252","Cumandá"
"__export__.ote_parroquia_060253",,"060253","Guasuntos"
"__export__.ote_parroquia_060254",,"060254","Huigra"
"__export__.ote_parroquia_060255",,"060255","Multitud"
"__export__.ote_parroquia_060256",,"060256","Pistishí (Nariz del Diablo)"
"__export__.ote_parroquia_060257",,"060257","Pumallacta"
"__export__.ote_parroquia_060258",,"060258","Sevilla"
"__export__.ote_parroquia_060259",,"060259","Sibambe"
"__export__.ote_parroquia_060260",,"060260","Tixán"
"__export__.ote_parroquia_060301",,"060301","Cajabamba"
"__export__.ote_parroquia_060302",,"060302","Sicalpa"
"__export__.ote_parroquia_060350",,"060350","Villa La Unión (Cajabampa)"
"__export__.ote_parroquia_060351",,"060351","Cañi"
"__export__.ote_parroquia_060352",,"060352","Columbe"
"__export__.ote_parroquia_060353",,"060353","Juan de Velasco (Pangor)"
"__export__.ote_parroquia_060354",,"060354","Santiago de Quito (Cab. en San Antonio de Quito)"
"__export__.ote_parroquia_060450",,"060450","Chambo"
"__export__.ote_parroquia_060550",,"060550","Chunchi"
"__export__.ote_parroquia_060551",,"060551","Capzol"
"__export__.ote_parroquia_060552",,"060552","Compud"
"__export__.ote_parroquia_060553",,"060553","Gonzol"
"__export__.ote_parroquia_060554",,"060554","Llagos"
"__export__.ote_parroquia_060650",,"060650","Guamote"
"__export__.ote_parroquia_060651",,"060651","Cebadas"
"__export__.ote_parroquia_060652",,"060652","Palmira"
"__export__.ote_parroquia_060701",,"060701","El Rosario"
"__export__.ote_parroquia_060702",,"060702","La Matriz"
"__export__.ote_parroquia_060750",,"060750","Guano"
"__export__.ote_parroquia_060751",,"060751","Guanando"
"__export__.ote_parroquia_060752",,"060752","Ilapo"
"__export__.ote_parroquia_060753",,"060753","La Providencia"
"__export__.ote_parroquia_060754",,"060754","San Andrés"
"__export__.ote_parroquia_060755",,"060755","San Gerardo de Pacaicaguán"
"__export__.ote_parroquia_060756",,"060756","San Isidro de Patulú"
"__export__.ote_parroquia_060757",,"060757","San José del Chazo"
"__export__.ote_parroquia_060758",,"060758","Santa Fé de Galán"
"__export__.ote_parroquia_060759",,"060759","Valparaíso"
"__export__.ote_parroquia_060850",,"060850","Pallatanga"
"__export__.ote_parroquia_060950",,"060950","Penipe"
"__export__.ote_parroquia_060951",,"060951","El Altar"
"__export__.ote_parroquia_060952",,"060952","Matus"
"__export__.ote_parroquia_060953",,"060953","Puela"
"__export__.ote_parroquia_060954",,"060954","San Antonio de Bayushig"
"__export__.ote_parroquia_060955",,"060955","La Candelaria"
"__export__.ote_parroquia_060956",,"060956","Bilbao (Cab. en Quilluyacu)"
"__export__.ote_parroquia_061050",,"061050","Cumandá"
"__export__.ote_parroquia_070101",,"070101","La Providencia"
"__export__.ote_parroquia_070102",,"070102","Machala"
"__export__.ote_parroquia_070103",,"070103","Puerto Bolívar"
