"id","reconcile","code","name","user_type_id/id","chart_template_id:id"
"510407","False","510407","SUMINISTROS MATERIALES Y REPUESTOS ","account.data_account_type_direct_costs","l10n_ec"
"510408","False","510408","OTROS COSTOS DE PRODUCCIÓN ","account.data_account_type_direct_costs","l10n_ec"
"520101","False","520101","SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES ","account.data_account_type_expenses","l10n_ec"
"520102","False","520102","APORTES A LA SEGURIDAD SOCIAL (incluido fondo de reserva) ","account.data_account_type_expenses","l10n_ec"
"520103","False","520103","BENEFICIOS SOCIALES E INDEMNIZACIONES ","account.data_account_type_expenses","l10n_ec"
"520104","False","520104","GASTO PLANES DE BENEFICIOS A EMPLEADOS ","account.data_account_type_expenses","l10n_ec"
"520105","False","520105","HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES ","account.data_account_type_expenses","l10n_ec"
"520106","False","520106","REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS ","account.data_account_type_expenses","l10n_ec"
"520107","False","520107","HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES ","account.data_account_type_expenses","l10n_ec"
"520108","False","520108","MANTENIMIENTO Y REPARACIONES ","account.data_account_type_expenses","l10n_ec"
"520109","False","520109","ARRENDAMIENTO OPERATIVO ","account.data_account_type_expenses","l10n_ec"
"520110","False","520110","COMISIONES ","account.data_account_type_expenses","l10n_ec"
"520111","False","520111","PROMOCIÓN Y PUBLICIDAD ","account.data_account_type_expenses","l10n_ec"
"520112","False","520112","COMBUSTIBLES ","account.data_account_type_expenses","l10n_ec"
"520113","False","520113","LUBRICANTES ","account.data_account_type_expenses","l10n_ec"
"520114","False","520114","SEGUROS Y REASEGUROS (primas y cesiones) ","account.data_account_type_expenses","l10n_ec"
"520115","False","520115","TRANSPORTE ","account.data_account_type_expenses","l10n_ec"
"520116","False","520116","GASTOS DE GESTIÓN (agasajos a accionistas, trabajadores y clientes) ","account.data_account_type_expenses","l10n_ec"
"520117","False","520117","GASTOS DE VIAJE ","account.data_account_type_expenses","l10n_ec"
"520118","False","520118","AGUA, ENERGÍA, LUZ Y TELECOMUNICACIONES ","account.data_account_type_expenses","l10n_ec"
"520119","False","520119","NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES ","account.data_account_type_expenses","l10n_ec"
"520120","False","520120","ELIMINADO ","account.data_account_type_expenses","l10n_ec"
"52012101","False","52012101","PROPIEDADES, PLANTA Y EQUIPO ","account.data_account_type_depreciation","l10n_ec"
"52012102","False","52012102","PROPIEDADES DE INVERSIÓN ","account.data_account_type_depreciation","l10n_ec"
"52012201","False","52012201","INTANGIBLES ","account.data_account_type_depreciation","l10n_ec"
"52012202","False","52012202","OTROS ACTIVOS ","account.data_account_type_depreciation","l10n_ec"
"52012301","False","52012301","PROPIEDADES, PLANTA Y EQUIPO ","account.data_account_type_depreciation","l10n_ec"
"52012401","False","52012401","MANO DE OBRA ","account.data_account_type_expenses","l10n_ec"
"52012402","False","52012402","MATERIALES ","account.data_account_type_expenses","l10n_ec"
"52012403","False","52012403","COSTOS DE PRODUCCIÓN ","account.data_account_type_expenses","l10n_ec"
"520125","False","520125","GASTO POR REESTRUCTURACIÓN ","account.data_account_type_expenses","l10n_ec"
"520126","False","520126","VALOR NETO DE REALIZACIÓN DE INVENTARIOS ","account.data_account_type_expenses","l10n_ec"
"520128","False","520128","OTROS GASTOS ","account.data_account_type_expenses","l10n_ec"
"520201","False","520201","SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES ","account.data_account_type_expenses","l10n_ec"
"520202","False","520202","APORTES A LA SEGURIDAD SOCIAL (incluido fondo de reserva) ","account.data_account_type_expenses","l10n_ec"
"520203","False","520203","BENEFICIOS SOCIALES E INDEMNIZACIONES ","account.data_account_type_expenses","l10n_ec"
"520204","False","520204","GASTO PLANES DE BENEFICIOS A EMPLEADOS ","account.data_account_type_expenses","l10n_ec"
"520205","False","520205","HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES ","account.data_account_type_expenses","l10n_ec"
"520206","False","520206","REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS ","account.data_account_type_expenses","l10n_ec"
"520207","False","520207","HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES ","account.data_account_type_expenses","l10n_ec"
"520208","False","520208","MANTENIMIENTO Y REPARACIONES ","account.data_account_type_expenses","l10n_ec"
"520209","False","520209","ARRENDAMIENTO OPERATIVO ","account.data_account_type_expenses","l10n_ec"
"520210","False","520210","COMISIONES ","account.data_account_type_expenses","l10n_ec"
"520212","False","520212","COMBUSTIBLES ","account.data_account_type_expenses","l10n_ec"
"520213","False","520213","LUBRICANTES ","account.data_account_type_expenses","l10n_ec"
"520214","False","520214","SEGUROS Y REASEGUROS (primas y cesiones) ","account.data_account_type_expenses","l10n_ec"
"520215","False","520215","TRANSPORTE ","account.data_account_type_expenses","l10n_ec"
"520216","False","520216","GASTOS DE GESTIÓN (agasajos a accionistas, trabajadores y clientes) ","account.data_account_type_expenses","l10n_ec"
"520217","False","520217","GASTOS DE VIAJE ","account.data_account_type_expenses","l10n_ec"
"520218","False","520218","AGUA, ENERGÍA, LUZ Y TELECOMUNICACIONES ","account.data_account_type_expenses","l10n_ec"
